a : -75.0000, 0 -> 3
b : 953.0000, 0 -> 1
c : -477.0000, 0 -> 2
d : 379.0000, 0 -> 2
a : 353.0000, 1 -> 0
b : 363.0000, 1 -> 1
c : 109.0000, 1 -> 2
d : -119.0000, 1 -> 2
a : 922.0000, 2 -> 3
b : -31.0000, 2 -> 2
c : 311.0000, 2 -> 0
d : 519.0000, 2 -> 1
a : -725.0000, 3 -> 1
b : 944.0000, 3 -> 2
c : 987.0000, 3 -> 1
d : 299.0000, 3 -> 0
c : 34.0000, 0 -> 1
a : -879.0000, 0 -> 1
d : -730.0000, 1 -> 0
a : -915.0000, 1 -> 3
c : -179.0000, 2 -> 1
c : -60.0000, 2 -> 2
d : 556.0000, 3 -> 1
c : -582.0000, 3 -> 1
