a : 511.0000, 0 -> 3
b : 60.0000, 0 -> 2
c : -884.0000, 0 -> 0
d : 402.0000, 0 -> 2
a : -566.0000, 1 -> 3
b : -653.0000, 1 -> 2
c : 930.0000, 1 -> 0
d : 253.0000, 1 -> 1
a : -964.0000, 2 -> 3
b : 774.0000, 2 -> 3
c : 710.0000, 2 -> 1
d : -449.0000, 2 -> 3
a : -407.0000, 3 -> 0
b : -881.0000, 3 -> 2
c : 57.0000, 3 -> 2
d : 884.0000, 3 -> 3
a : 946.0000, 0 -> 2
b : 178.0000, 0 -> 1
d : -123.0000, 1 -> 1
a : -756.0000, 1 -> 3
a : 548.0000, 2 -> 0
d : -815.0000, 2 -> 1
d : -930.0000, 3 -> 2
c : -252.0000, 3 -> 0
