a : 221.0000, 0 -> 5
b : 684.0000, 0 -> 4
a : 259.0000, 1 -> 0
b : 959.0000, 1 -> 5
a : -534.0000, 2 -> 4
b : 654.0000, 2 -> 6
a : 119.0000, 3 -> 0
b : 227.0000, 3 -> 0
a : -208.0000, 4 -> 1
b : 611.0000, 4 -> 7
a : -96.0000, 5 -> 4
b : -268.0000, 5 -> 6
a : -386.0000, 6 -> 4
b : -391.0000, 6 -> 2
a : -362.0000, 7 -> 2
b : -886.0000, 7 -> 4
a : 534.0000, 0 -> 6
a : -260.0000, 1 -> 1
a : 520.0000, 2 -> 5
b : 358.0000, 3 -> 1
b : 21.0000, 4 -> 2
a : -382.0000, 5 -> 1
b : 793.0000, 6 -> 5
b : -326.0000, 7 -> 4
a : 895.0000, 2 -> 3
