a : -767.0000, 0 -> 1
b : 639.0000, 0 -> 3
c : -962.0000, 0 -> 3
d : 988.0000, 0 -> 1
a : 55.0000, 1 -> 3
b : 644.0000, 1 -> 3
c : 194.0000, 1 -> 2
d : -129.0000, 1 -> 2
a : 512.0000, 2 -> 1
b : -878.0000, 2 -> 0
c : -598.0000, 2 -> 0
d : -926.0000, 2 -> 2
a : -618.0000, 3 -> 0
b : 34.0000, 3 -> 1
c : 753.0000, 3 -> 2
d : 127.0000, 3 -> 2
a : -141.0000, 0 -> 3
d : 343.0000, 0 -> 3
c : 315.0000, 1 -> 0
c : -973.0000, 1 -> 2
b : 986.0000, 2 -> 0
a : 680.0000, 2 -> 2
a : -937.0000, 3 -> 1
c : -947.0000, 3 -> 2
