a : 650.0000, 0 -> 0
b : -172.0000, 0 -> 1
c : -940.0000, 0 -> 0
d : -279.0000, 0 -> 1
a : -481.0000, 1 -> 1
b : 39.0000, 1 -> 0
c : 832.0000, 1 -> 1
d : 628.0000, 1 -> 3
a : 974.0000, 2 -> 3
b : -419.0000, 2 -> 1
c : 146.0000, 2 -> 0
d : 786.0000, 2 -> 0
a : 440.0000, 3 -> 0
b : 908.0000, 3 -> 0
c : -184.0000, 3 -> 2
d : 444.0000, 3 -> 3
b : -786.0000, 0 -> 1
b : 898.0000, 0 -> 3
d : 255.0000, 1 -> 0
d : -21.0000, 1 -> 3
a : -928.0000, 2 -> 0
d : -897.0000, 2 -> 0
b : -142.0000, 3 -> 1
b : -681.0000, 3 -> 3
