a : 6.0000, 0 -> 3
b : 446.0000, 0 -> 3
c : 544.0000, 0 -> 7
d : -545.0000, 0 -> 3
a : 159.0000, 1 -> 3
b : 483.0000, 1 -> 1
c : -335.0000, 1 -> 5
d : -813.0000, 1 -> 7
a : -217.0000, 2 -> 2
b : 606.0000, 2 -> 4
c : 613.0000, 2 -> 4
d : -411.0000, 2 -> 0
a : 398.0000, 3 -> 1
b : -507.0000, 3 -> 4
c : -20.0000, 3 -> 5
d : 696.0000, 3 -> 0
a : -787.0000, 4 -> 7
b : -763.0000, 4 -> 5
c : -578.0000, 4 -> 2
d : -284.0000, 4 -> 5
a : -428.0000, 5 -> 3
b : 456.0000, 5 -> 1
c : -11.0000, 5 -> 2
d : 287.0000, 5 -> 0
a : -767.0000, 6 -> 1
b : -27.0000, 6 -> 4
c : 907.0000, 6 -> 4
d : -368.0000, 6 -> 1
a : 845.0000, 7 -> 3
b : -501.0000, 7 -> 5
c : 574.0000, 7 -> 3
d : 330.0000, 7 -> 2
c : -896.0000, 0 -> 5
c : 246.0000, 0 -> 7
d : -239.0000, 1 -> 1
c : 301.0000, 1 -> 3
d : -109.0000, 2 -> 7
c : 833.0000, 2 -> 0
a : 691.0000, 3 -> 3
b : 379.0000, 3 -> 0
a : -687.0000, 4 -> 2
a : -380.0000, 4 -> 0
a : 499.0000, 5 -> 5
c : 424.0000, 5 -> 2
a : 263.0000, 6 -> 1
b : -70.0000, 6 -> 7
d : 360.0000, 7 -> 5
c : -937.0000, 7 -> 1
b : 679.0000, 4 -> 6
