a : -375.0000, 0 -> 6
b : -247.0000, 0 -> 5
c : -713.0000, 0 -> 3
d : -6.0000, 0 -> 7
a : 47.0000, 1 -> 2
b : -511.0000, 1 -> 3
c : -46.0000, 1 -> 0
d : 204.0000, 1 -> 2
a : 851.0000, 2 -> 5
b : -68.0000, 2 -> 3
c : 899.0000, 2 -> 4
d : -270.0000, 2 -> 5
a : -873.0000, 3 -> 5
b : -990.0000, 3 -> 2
c : 778.0000, 3 -> 2
d : -831.0000, 3 -> 5
a : -498.0000, 4 -> 4
b : -634.0000, 4 -> 5
c : -94.0000, 4 -> 3
d : -593.0000, 4 -> 6
a : -164.0000, 5 -> 5
b : 204.0000, 5 -> 3
c : -301.0000, 5 -> 0
d : 677.0000, 5 -> 1
a : 470.0000, 6 -> 2
b : 515.0000, 6 -> 3
c : 578.0000, 6 -> 3
d : -205.0000, 6 -> 0
a : -174.0000, 7 -> 6
b : 530.0000, 7 -> 1
c : -793.0000, 7 -> 3
d : 261.0000, 7 -> 5
b : -28.0000, 0 -> 7
b : 722.0000, 0 -> 0
a : 489.0000, 1 -> 5
b : 74.0000, 1 -> 2
b : -353.0000, 2 -> 6
d : 169.0000, 2 -> 7
a : -259.0000, 3 -> 6
d : 262.0000, 3 -> 0
b : 955.0000, 4 -> 1
d : 698.0000, 4 -> 6
d : -618.0000, 5 -> 0
a : -400.0000, 5 -> 6
a : 8.0000, 6 -> 7
b : 7.0000, 6 -> 4
b : -250.0000, 7 -> 2
d : -92.0000, 7 -> 4
