a : -858.0000, 0 -> 2
b : 522.0000, 0 -> 3
c : -321.0000, 0 -> 2
d : -55.0000, 0 -> 1
a : -587.0000, 1 -> 2
b : 18.0000, 1 -> 0
c : 554.0000, 1 -> 2
d : -524.0000, 1 -> 0
a : -736.0000, 2 -> 3
b : 462.0000, 2 -> 1
c : 503.0000, 2 -> 0
d : -712.0000, 2 -> 0
a : -847.0000, 3 -> 3
b : 270.0000, 3 -> 1
c : -223.0000, 3 -> 1
d : -721.0000, 3 -> 0
a : -431.0000, 0 -> 3
d : -356.0000, 0 -> 0
a : -234.0000, 1 -> 3
b : 831.0000, 1 -> 0
a : -932.0000, 2 -> 0
a : 365.0000, 2 -> 1
c : -772.0000, 3 -> 3
c : -166.0000, 3 -> 3
