a : -874.0000, 0 -> 1
b : -389.0000, 0 -> 7
c : -560.0000, 0 -> 1
d : -216.0000, 0 -> 4
a : 55.0000, 1 -> 0
b : 913.0000, 1 -> 4
c : -96.0000, 1 -> 3
d : 203.0000, 1 -> 3
a : -876.0000, 2 -> 2
b : -249.0000, 2 -> 2
c : 682.0000, 2 -> 5
d : -317.0000, 2 -> 0
a : 48.0000, 3 -> 7
b : -457.0000, 3 -> 7
c : 263.0000, 3 -> 1
d : -360.0000, 3 -> 0
a : -879.0000, 4 -> 0
b : -181.0000, 4 -> 0
c : -891.0000, 4 -> 1
d : -613.0000, 4 -> 5
a : -698.0000, 5 -> 5
b : -944.0000, 5 -> 6
c : -3.0000, 5 -> 2
d : 318.0000, 5 -> 4
a : -222.0000, 6 -> 3
b : 361.0000, 6 -> 3
c : 977.0000, 6 -> 5
d : -627.0000, 6 -> 6
a : -854.0000, 7 -> 5
b : -19.0000, 7 -> 4
c : 102.0000, 7 -> 3
d : -950.0000, 7 -> 4
c : -241.0000, 0 -> 0
d : 988.0000, 0 -> 2
c : 111.0000, 1 -> 2
c : -944.0000, 1 -> 7
b : 540.0000, 2 -> 0
a : -741.0000, 2 -> 6
d : -680.0000, 3 -> 6
b : -378.0000, 3 -> 2
a : 775.0000, 4 -> 6
c : -304.0000, 4 -> 5
d : -494.0000, 5 -> 0
b : 766.0000, 5 -> 3
c : -459.0000, 6 -> 3
c : -333.0000, 6 -> 0
c : -644.0000, 7 -> 0
a : 458.0000, 7 -> 3
