a : 986.0000, 0 -> 0
b : 122.0000, 0 -> 5
c : 606.0000, 0 -> 0
d : -771.0000, 0 -> 6
a : -348.0000, 1 -> 3
b : 737.0000, 1 -> 4
c : -20.0000, 1 -> 2
d : -528.0000, 1 -> 2
a : -458.0000, 2 -> 1
b : 641.0000, 2 -> 6
c : 146.0000, 2 -> 7
d : 260.0000, 2 -> 3
a : -59.0000, 3 -> 3
b : 612.0000, 3 -> 1
c : -171.0000, 3 -> 7
d : 53.0000, 3 -> 3
a : 25.0000, 4 -> 1
b : -275.0000, 4 -> 5
c : 675.0000, 4 -> 0
d : -387.0000, 4 -> 5
a : 660.0000, 5 -> 2
b : -442.0000, 5 -> 2
c : -463.0000, 5 -> 3
d : 655.0000, 5 -> 4
a : -270.0000, 6 -> 5
b : 241.0000, 6 -> 6
c : 624.0000, 6 -> 6
d : -291.0000, 6 -> 4
a : -37.0000, 7 -> 1
b : -589.0000, 7 -> 0
c : 201.0000, 7 -> 6
d : -71.0000, 7 -> 0
a : -204.0000, 0 -> 1
a : 914.0000, 0 -> 7
b : 648.0000, 1 -> 6
d : 372.0000, 1 -> 7
c : -358.0000, 2 -> 5
a : 455.0000, 2 -> 3
d : 33.0000, 3 -> 6
d : -256.0000, 3 -> 0
c : -258.0000, 4 -> 3
a : -846.0000, 4 -> 7
a : -719.0000, 5 -> 7
b : -810.0000, 5 -> 7
c : -671.0000, 6 -> 1
b : -375.0000, 6 -> 4
c : -506.0000, 7 -> 0
d : 167.0000, 7 -> 4
