a : -602.0000, 0 -> 0
b : 329.0000, 0 -> 0
c : 894.0000, 0 -> 0
d : 191.0000, 0 -> 2
a : -846.0000, 1 -> 0
b : 778.0000, 1 -> 0
c : 647.0000, 1 -> 3
d : 346.0000, 1 -> 3
a : -824.0000, 2 -> 3
b : 215.0000, 2 -> 1
c : -91.0000, 2 -> 0
d : 121.0000, 2 -> 1
a : -209.0000, 3 -> 2
b : -988.0000, 3 -> 1
c : -366.0000, 3 -> 0
d : -426.0000, 3 -> 3
d : -772.0000, 0 -> 1
b : 862.0000, 0 -> 3
d : -110.0000, 1 -> 1
b : -76.0000, 1 -> 3
a : 582.0000, 2 -> 2
d : 62.0000, 2 -> 3
d : -824.0000, 3 -> 1
a : -354.0000, 3 -> 1
