a : 593.0000, 0 -> 3
b : -105.0000, 0 -> 3
c : -768.0000, 0 -> 1
d : 861.0000, 0 -> 4
a : 573.0000, 1 -> 1
b : 221.0000, 1 -> 3
c : -409.0000, 1 -> 5
d : 470.0000, 1 -> 1
a : -423.0000, 2 -> 6
b : -429.0000, 2 -> 5
c : 223.0000, 2 -> 1
d : -998.0000, 2 -> 1
a : -256.0000, 3 -> 7
b : 104.0000, 3 -> 7
c : 601.0000, 3 -> 6
d : 413.0000, 3 -> 1
a : -1.0000, 4 -> 0
b : -403.0000, 4 -> 3
c : -523.0000, 4 -> 1
d : -623.0000, 4 -> 4
a : 118.0000, 5 -> 0
b : 710.0000, 5 -> 0
c : 657.0000, 5 -> 5
d : 600.0000, 5 -> 0
a : 488.0000, 6 -> 0
b : -357.0000, 6 -> 1
c : -4.0000, 6 -> 4
d : -205.0000, 6 -> 1
a : 743.0000, 7 -> 6
b : -247.0000, 7 -> 0
c : -58.0000, 7 -> 1
d : -762.0000, 7 -> 0
a : 880.0000, 0 -> 4
a : 286.0000, 0 -> 2
c : 127.0000, 1 -> 2
a : 433.0000, 1 -> 0
c : 113.0000, 2 -> 2
d : 495.0000, 2 -> 6
c : -948.0000, 3 -> 7
d : -786.0000, 3 -> 2
c : 329.0000, 4 -> 3
d : 178.0000, 4 -> 0
c : 299.0000, 5 -> 7
b : 811.0000, 5 -> 7
a : -807.0000, 6 -> 1
b : -571.0000, 6 -> 2
d : 373.0000, 7 -> 4
b : 889.0000, 7 -> 3
