a : 823.0000, 0 -> 3
b : 386.0000, 0 -> 6
a : -511.0000, 1 -> 0
b : -468.0000, 1 -> 2
a : 322.0000, 2 -> 0
b : -867.0000, 2 -> 4
a : -498.0000, 3 -> 4
b : 416.0000, 3 -> 1
a : -621.0000, 4 -> 5
b : -278.0000, 4 -> 7
a : 787.0000, 5 -> 7
b : 113.0000, 5 -> 4
a : -109.0000, 6 -> 1
b : 985.0000, 6 -> 2
a : -699.0000, 7 -> 4
b : -765.0000, 7 -> 4
b : 578.0000, 0 -> 3
b : 765.0000, 1 -> 5
a : -992.0000, 2 -> 3
b : -667.0000, 3 -> 3
b : -522.0000, 4 -> 4
b : -114.0000, 5 -> 6
b : -708.0000, 6 -> 0
b : -58.0000, 7 -> 5
