a : -75.0000, 0 -> 6
b : 245.0000, 0 -> 6
c : 872.0000, 0 -> 2
d : -205.0000, 0 -> 1
a : 422.0000, 1 -> 2
b : 501.0000, 1 -> 3
c : -166.0000, 1 -> 4
d : 816.0000, 1 -> 2
a : -908.0000, 2 -> 4
b : 377.0000, 2 -> 1
c : 310.0000, 2 -> 0
d : 860.0000, 2 -> 5
a : -517.0000, 3 -> 5
b : -492.0000, 3 -> 1
c : -156.0000, 3 -> 0
d : -233.0000, 3 -> 7
a : -24.0000, 4 -> 2
b : 479.0000, 4 -> 4
c : 716.0000, 4 -> 1
d : -911.0000, 4 -> 5
a : 364.0000, 5 -> 3
b : -229.0000, 5 -> 0
c : 0.0000, 5 -> 2
d : -181.0000, 5 -> 4
a : 601.0000, 6 -> 0
b : 227.0000, 6 -> 2
c : -611.0000, 6 -> 3
d : -427.0000, 6 -> 7
a : 9.0000, 7 -> 6
b : -857.0000, 7 -> 1
c : -175.0000, 7 -> 3
d : -207.0000, 7 -> 2
c : 846.0000, 0 -> 5
b : -200.0000, 0 -> 7
a : -603.0000, 1 -> 0
c : 345.0000, 1 -> 3
a : 979.0000, 2 -> 3
c : -846.0000, 2 -> 5
a : -611.0000, 3 -> 4
a : 62.0000, 3 -> 0
d : 219.0000, 4 -> 2
c : 209.0000, 4 -> 2
c : 464.0000, 5 -> 4
d : 589.0000, 5 -> 7
c : 347.0000, 6 -> 5
b : -291.0000, 6 -> 7
b : -695.0000, 7 -> 5
d : -497.0000, 7 -> 3
