a : 935.0000, 0 -> 2
b : -317.0000, 0 -> 2
c : -692.0000, 0 -> 2
d : -920.0000, 0 -> 1
a : 827.0000, 1 -> 1
b : 552.0000, 1 -> 2
c : -163.0000, 1 -> 2
d : 114.0000, 1 -> 0
a : 209.0000, 2 -> 2
b : -843.0000, 2 -> 0
c : -975.0000, 2 -> 0
d : -972.0000, 2 -> 0
a : -144.0000, 3 -> 1
b : 305.0000, 3 -> 1
c : -235.0000, 3 -> 3
d : 486.0000, 3 -> 0
c : 789.0000, 0 -> 3
c : 312.0000, 0 -> 0
c : 562.0000, 1 -> 1
d : 156.0000, 1 -> 3
c : 822.0000, 2 -> 1
d : -689.0000, 2 -> 2
d : -95.0000, 3 -> 3
b : 371.0000, 3 -> 2
