a : 123.0000, 0 -> 3
b : -510.0000, 0 -> 1
c : -512.0000, 0 -> 7
d : -41.0000, 0 -> 7
a : -378.0000, 1 -> 2
b : -210.0000, 1 -> 7
c : 745.0000, 1 -> 4
d : 106.0000, 1 -> 0
a : 954.0000, 2 -> 5
b : 96.0000, 2 -> 7
c : 492.0000, 2 -> 4
d : 989.0000, 2 -> 6
a : 250.0000, 3 -> 4
b : 819.0000, 3 -> 3
c : -239.0000, 3 -> 3
d : -227.0000, 3 -> 3
a : 361.0000, 4 -> 0
b : -236.0000, 4 -> 3
c : 133.0000, 4 -> 3
d : 581.0000, 4 -> 5
a : 513.0000, 5 -> 7
b : 672.0000, 5 -> 6
c : 597.0000, 5 -> 0
d : -664.0000, 5 -> 6
a : -249.0000, 6 -> 3
b : -304.0000, 6 -> 4
c : 583.0000, 6 -> 0
d : -391.0000, 6 -> 4
a : 841.0000, 7 -> 7
b : -284.0000, 7 -> 3
c : -948.0000, 7 -> 6
d : -914.0000, 7 -> 3
c : -864.0000, 0 -> 6
d : 572.0000, 0 -> 5
b : -299.0000, 1 -> 1
b : 219.0000, 1 -> 6
b : -780.0000, 2 -> 0
d : 162.0000, 2 -> 7
c : 249.0000, 3 -> 5
a : -679.0000, 3 -> 5
b : 152.0000, 4 -> 2
c : 900.0000, 4 -> 5
b : 404.0000, 5 -> 7
d : 771.0000, 5 -> 1
d : -936.0000, 6 -> 0
c : -889.0000, 6 -> 2
a : 874.0000, 7 -> 5
b : 86.0000, 7 -> 1
