a : -535.0000, 0 -> 7
b : 368.0000, 0 -> 4
c : 682.0000, 0 -> 4
d : -159.0000, 0 -> 6
a : 388.0000, 1 -> 5
b : 544.0000, 1 -> 2
c : -399.0000, 1 -> 3
d : 881.0000, 1 -> 2
a : 99.0000, 2 -> 3
b : -416.0000, 2 -> 7
c : -9.0000, 2 -> 0
d : -150.0000, 2 -> 5
a : -418.0000, 3 -> 2
b : -141.0000, 3 -> 6
c : 245.0000, 3 -> 6
d : 885.0000, 3 -> 6
a : -253.0000, 4 -> 2
b : -11.0000, 4 -> 1
c : -874.0000, 4 -> 7
d : 967.0000, 4 -> 3
a : -228.0000, 5 -> 4
b : -737.0000, 5 -> 3
c : -451.0000, 5 -> 6
d : -757.0000, 5 -> 0
a : 512.0000, 6 -> 4
b : -272.0000, 6 -> 6
c : -506.0000, 6 -> 1
d : -555.0000, 6 -> 1
a : 545.0000, 7 -> 4
b : 394.0000, 7 -> 5
c : 234.0000, 7 -> 3
d : -194.0000, 7 -> 1
d : 420.0000, 0 -> 0
a : -388.0000, 0 -> 4
c : -924.0000, 1 -> 0
b : -618.0000, 1 -> 3
a : 874.0000, 2 -> 4
a : 386.0000, 2 -> 6
c : 582.0000, 3 -> 4
a : 974.0000, 3 -> 4
c : 317.0000, 4 -> 2
a : 766.0000, 4 -> 3
a : 333.0000, 5 -> 0
d : 408.0000, 5 -> 5
c : -775.0000, 6 -> 4
b : -453.0000, 6 -> 3
c : 405.0000, 7 -> 1
b : -454.0000, 7 -> 1
