a : -982.0000, 0 -> 1
b : -591.0000, 0 -> 0
c : 752.0000, 0 -> 3
d : 208.0000, 0 -> 1
a : 576.0000, 1 -> 0
b : 863.0000, 1 -> 2
c : -940.0000, 1 -> 1
d : -662.0000, 1 -> 1
a : 311.0000, 2 -> 2
b : 201.0000, 2 -> 0
c : 783.0000, 2 -> 2
d : -250.0000, 2 -> 0
a : -227.0000, 3 -> 2
b : 545.0000, 3 -> 0
c : 424.0000, 3 -> 0
d : 596.0000, 3 -> 2
c : -940.0000, 0 -> 0
a : 369.0000, 0 -> 0
d : -834.0000, 1 -> 3
b : 352.0000, 1 -> 3
b : -736.0000, 2 -> 2
a : 404.0000, 2 -> 3
a : 428.0000, 3 -> 1
d : 719.0000, 3 -> 1
