a : -9.0000, 0 -> 6
b : 858.0000, 0 -> 5
a : -860.0000, 1 -> 3
b : -819.0000, 1 -> 7
a : -132.0000, 2 -> 0
b : 944.0000, 2 -> 2
a : 12.0000, 3 -> 2
b : 254.0000, 3 -> 5
a : -388.0000, 4 -> 3
b : -694.0000, 4 -> 1
a : -646.0000, 5 -> 3
b : -7.0000, 5 -> 4
a : -328.0000, 6 -> 4
b : 662.0000, 6 -> 0
a : 317.0000, 7 -> 7
b : -827.0000, 7 -> 6
a : -850.0000, 0 -> 0
a : 324.0000, 1 -> 5
a : 363.0000, 2 -> 5
b : 45.0000, 3 -> 1
a : -556.0000, 4 -> 6
a : 651.0000, 5 -> 5
a : -437.0000, 6 -> 7
b : 871.0000, 7 -> 5
