a : -618.0000, 0 -> 3
b : -375.0000, 0 -> 1
c : -897.0000, 0 -> 2
d : -580.0000, 0 -> 1
a : -903.0000, 1 -> 2
b : -24.0000, 1 -> 2
c : 978.0000, 1 -> 0
d : -529.0000, 1 -> 3
a : 261.0000, 2 -> 0
b : 803.0000, 2 -> 2
c : 230.0000, 2 -> 0
d : 18.0000, 2 -> 0
a : 537.0000, 3 -> 3
b : -675.0000, 3 -> 1
c : 138.0000, 3 -> 3
d : 185.0000, 3 -> 1
c : -41.0000, 0 -> 3
d : -874.0000, 0 -> 2
d : 2.0000, 1 -> 1
c : 708.0000, 1 -> 1
d : -346.0000, 2 -> 2
c : -53.0000, 2 -> 2
c : -163.0000, 3 -> 0
c : -534.0000, 3 -> 2
