a : -813.0000, 0 -> 2
b : 62.0000, 0 -> 6
a : 14.0000, 1 -> 0
b : -347.0000, 1 -> 1
a : -583.0000, 2 -> 4
b : -482.0000, 2 -> 1
a : 127.0000, 3 -> 4
b : 651.0000, 3 -> 6
a : 407.0000, 4 -> 0
b : -309.0000, 4 -> 1
a : 584.0000, 5 -> 6
b : -940.0000, 5 -> 0
a : 337.0000, 6 -> 6
b : 499.0000, 6 -> 6
a : 322.0000, 7 -> 6
b : -417.0000, 7 -> 7
b : 881.0000, 0 -> 0
a : -593.0000, 1 -> 4
a : 378.0000, 2 -> 3
a : -635.0000, 3 -> 3
a : 401.0000, 4 -> 3
b : -544.0000, 5 -> 1
a : -264.0000, 6 -> 0
a : -761.0000, 7 -> 4
b : 768.0000, 1 -> 5
a : -957.0000, 0 -> 7
