a : -354.0000, 0 -> 2
b : -245.0000, 0 -> 1
c : -524.0000, 0 -> 1
d : 933.0000, 0 -> 2
a : -910.0000, 1 -> 3
b : 755.0000, 1 -> 1
c : -62.0000, 1 -> 0
d : -964.0000, 1 -> 2
a : -215.0000, 2 -> 0
b : 997.0000, 2 -> 2
c : 17.0000, 2 -> 3
d : -768.0000, 2 -> 0
a : -14.0000, 3 -> 1
b : 772.0000, 3 -> 2
c : 255.0000, 3 -> 0
d : -300.0000, 3 -> 2
c : -354.0000, 0 -> 2
a : -108.0000, 0 -> 0
d : 608.0000, 1 -> 1
c : -677.0000, 1 -> 3
d : -153.0000, 2 -> 3
b : 661.0000, 2 -> 0
a : 376.0000, 3 -> 0
d : 194.0000, 3 -> 3
