a : 220.0000, 0 -> 2
b : -625.0000, 0 -> 0
c : -170.0000, 0 -> 2
d : -398.0000, 0 -> 3
a : 998.0000, 1 -> 1
b : 446.0000, 1 -> 4
c : -852.0000, 1 -> 3
d : 612.0000, 1 -> 0
a : -423.0000, 2 -> 2
b : 670.0000, 2 -> 2
c : 281.0000, 2 -> 2
d : -617.0000, 2 -> 6
a : -779.0000, 3 -> 0
b : -512.0000, 3 -> 7
c : 106.0000, 3 -> 0
d : 386.0000, 3 -> 6
a : 615.0000, 4 -> 5
b : 332.0000, 4 -> 2
c : 265.0000, 4 -> 2
d : 715.0000, 4 -> 5
a : 903.0000, 5 -> 0
b : 805.0000, 5 -> 1
c : -742.0000, 5 -> 5
d : -30.0000, 5 -> 0
a : -182.0000, 6 -> 1
b : -912.0000, 6 -> 5
c : -670.0000, 6 -> 1
d : -38.0000, 6 -> 7
a : -177.0000, 7 -> 2
b : 586.0000, 7 -> 7
c : -268.0000, 7 -> 2
d : 710.0000, 7 -> 7
a : -810.0000, 0 -> 1
a : 201.0000, 0 -> 4
c : 839.0000, 1 -> 1
a : 908.0000, 1 -> 7
a : 856.0000, 2 -> 1
c : 948.0000, 2 -> 7
d : 305.0000, 3 -> 5
a : -923.0000, 3 -> 7
c : -280.0000, 4 -> 6
a : -113.0000, 4 -> 1
a : -115.0000, 5 -> 1
d : -299.0000, 5 -> 5
d : 385.0000, 6 -> 4
b : -926.0000, 6 -> 7
b : 500.0000, 7 -> 0
d : -155.0000, 7 -> 4
