a : 695.0000, 0 -> 7
b : -480.0000, 0 -> 0
a : 486.0000, 1 -> 7
b : -19.0000, 1 -> 4
a : -29.0000, 2 -> 3
b : -354.0000, 2 -> 7
a : -902.0000, 3 -> 1
b : -470.0000, 3 -> 1
a : -945.0000, 4 -> 0
b : 466.0000, 4 -> 6
a : -600.0000, 5 -> 3
b : -893.0000, 5 -> 3
a : -325.0000, 6 -> 5
b : -16.0000, 6 -> 1
a : 747.0000, 7 -> 0
b : 668.0000, 7 -> 5
b : 728.0000, 0 -> 7
a : 663.0000, 1 -> 5
b : -980.0000, 2 -> 3
b : -388.0000, 3 -> 6
a : 516.0000, 4 -> 2
a : 781.0000, 5 -> 7
a : -480.0000, 6 -> 4
a : -728.0000, 7 -> 4
