a : -899.0000, 0 -> 3
b : 851.0000, 0 -> 3
c : 758.0000, 0 -> 2
d : 9.0000, 0 -> 2
a : -286.0000, 1 -> 2
b : -179.0000, 1 -> 0
c : -423.0000, 1 -> 1
d : -108.0000, 1 -> 2
a : 918.0000, 2 -> 2
b : -970.0000, 2 -> 2
c : -980.0000, 2 -> 3
d : -664.0000, 2 -> 3
a : -272.0000, 3 -> 1
b : 104.0000, 3 -> 3
c : -834.0000, 3 -> 2
d : 464.0000, 3 -> 0
a : 416.0000, 0 -> 0
d : 918.0000, 0 -> 1
c : 926.0000, 1 -> 3
b : 237.0000, 1 -> 1
a : 866.0000, 2 -> 0
d : 897.0000, 2 -> 0
a : -325.0000, 3 -> 2
c : -869.0000, 3 -> 3
