a : -481.0000, 0 -> 7
b : 680.0000, 0 -> 3
a : 905.0000, 1 -> 7
b : -395.0000, 1 -> 7
a : 113.0000, 2 -> 7
b : 575.0000, 2 -> 2
a : -109.0000, 3 -> 7
b : -557.0000, 3 -> 4
a : 22.0000, 4 -> 7
b : -899.0000, 4 -> 7
a : -81.0000, 5 -> 2
b : -32.0000, 5 -> 6
a : 517.0000, 6 -> 7
b : 755.0000, 6 -> 0
a : 782.0000, 7 -> 6
b : -781.0000, 7 -> 0
b : 171.0000, 0 -> 1
a : -182.0000, 1 -> 3
a : -176.0000, 2 -> 4
a : -891.0000, 3 -> 4
a : 560.0000, 4 -> 6
b : 132.0000, 5 -> 7
b : 429.0000, 6 -> 1
b : -810.0000, 7 -> 5
