a : 267.0000, 0 -> 2
b : 727.0000, 0 -> 1
c : -147.0000, 0 -> 0
d : 846.0000, 0 -> 3
a : -206.0000, 1 -> 3
b : -490.0000, 1 -> 2
c : 367.0000, 1 -> 3
d : 402.0000, 1 -> 1
a : -145.0000, 2 -> 3
b : 610.0000, 2 -> 1
c : -680.0000, 2 -> 3
d : -354.0000, 2 -> 0
a : 961.0000, 3 -> 1
b : 958.0000, 3 -> 3
c : 334.0000, 3 -> 2
d : -395.0000, 3 -> 3
b : -644.0000, 0 -> 2
c : -610.0000, 0 -> 3
c : 686.0000, 1 -> 0
b : -69.0000, 1 -> 0
b : -226.0000, 2 -> 2
d : -520.0000, 2 -> 2
c : -704.0000, 3 -> 1
b : 453.0000, 3 -> 0
