a : 76.0000, 0 -> 0
b : 802.0000, 0 -> 1
c : -910.0000, 0 -> 2
d : 175.0000, 0 -> 3
a : -778.0000, 1 -> 1
b : -417.0000, 1 -> 0
c : -21.0000, 1 -> 3
d : -16.0000, 1 -> 2
a : -670.0000, 2 -> 0
b : -237.0000, 2 -> 0
c : 958.0000, 2 -> 3
d : 591.0000, 2 -> 0
a : -701.0000, 3 -> 2
b : 219.0000, 3 -> 3
c : -290.0000, 3 -> 1
d : 75.0000, 3 -> 0
d : 685.0000, 0 -> 0
c : -72.0000, 0 -> 1
b : 719.0000, 1 -> 2
c : -108.0000, 1 -> 2
a : 823.0000, 2 -> 2
d : 259.0000, 2 -> 1
d : 694.0000, 3 -> 3
d : -450.0000, 3 -> 2
