a : 776.0000, 0 -> 2
b : 190.0000, 0 -> 0
c : -986.0000, 0 -> 0
d : -751.0000, 0 -> 0
a : 949.0000, 1 -> 2
b : -64.0000, 1 -> 0
c : 141.0000, 1 -> 2
d : 668.0000, 1 -> 1
a : 972.0000, 2 -> 3
b : -396.0000, 2 -> 0
c : -471.0000, 2 -> 1
d : -201.0000, 2 -> 1
a : 224.0000, 3 -> 2
b : -947.0000, 3 -> 0
c : 105.0000, 3 -> 0
d : -27.0000, 3 -> 2
d : 338.0000, 0 -> 1
c : -697.0000, 0 -> 1
c : 177.0000, 1 -> 0
c : 784.0000, 1 -> 1
d : 487.0000, 2 -> 0
b : 717.0000, 2 -> 1
b : 179.0000, 3 -> 2
a : -122.0000, 3 -> 3
