a : 998.0000, 0 -> 2
b : 923.0000, 0 -> 1
c : -447.0000, 0 -> 3
d : -200.0000, 0 -> 1
a : 63.0000, 1 -> 1
b : 131.0000, 1 -> 3
c : -97.0000, 1 -> 2
d : 458.0000, 1 -> 2
a : 890.0000, 2 -> 3
b : 705.0000, 2 -> 1
c : -345.0000, 2 -> 3
d : 646.0000, 2 -> 1
a : 572.0000, 3 -> 3
b : 94.0000, 3 -> 0
c : -624.0000, 3 -> 0
d : 784.0000, 3 -> 0
d : -466.0000, 0 -> 3
c : 245.0000, 0 -> 1
d : 621.0000, 1 -> 1
a : 918.0000, 1 -> 2
b : -471.0000, 2 -> 0
c : -665.0000, 2 -> 2
c : 663.0000, 3 -> 1
d : 990.0000, 3 -> 2
