a : -460.0000, 0 -> 1
b : 300.0000, 0 -> 6
c : -437.0000, 0 -> 0
d : 478.0000, 0 -> 5
a : -719.0000, 1 -> 0
b : -929.0000, 1 -> 4
c : -565.0000, 1 -> 3
d : 48.0000, 1 -> 4
a : 971.0000, 2 -> 7
b : -843.0000, 2 -> 4
c : 341.0000, 2 -> 4
d : 477.0000, 2 -> 5
a : 24.0000, 3 -> 3
b : -58.0000, 3 -> 6
c : 210.0000, 3 -> 2
d : 507.0000, 3 -> 1
a : -773.0000, 4 -> 4
b : 1.0000, 4 -> 6
c : -130.0000, 4 -> 7
d : -663.0000, 4 -> 0
a : 982.0000, 5 -> 3
b : -271.0000, 5 -> 6
c : 339.0000, 5 -> 0
d : 503.0000, 5 -> 2
a : -659.0000, 6 -> 3
b : 988.0000, 6 -> 2
c : -593.0000, 6 -> 6
d : 706.0000, 6 -> 5
a : -943.0000, 7 -> 5
b : -776.0000, 7 -> 3
c : 65.0000, 7 -> 3
d : -644.0000, 7 -> 0
a : 485.0000, 0 -> 3
a : 784.0000, 0 -> 4
a : 863.0000, 1 -> 2
d : -611.0000, 1 -> 7
d : 473.0000, 2 -> 6
c : -616.0000, 2 -> 5
d : -180.0000, 3 -> 2
c : -502.0000, 3 -> 3
a : 281.0000, 4 -> 2
b : 370.0000, 4 -> 3
b : -576.0000, 5 -> 4
c : 364.0000, 5 -> 4
c : 896.0000, 6 -> 0
a : -459.0000, 6 -> 1
d : -826.0000, 7 -> 4
d : -810.0000, 7 -> 5
