a : 900.0000, 0 -> 2
b : -630.0000, 0 -> 7
c : 481.0000, 0 -> 7
d : -212.0000, 0 -> 0
a : -689.0000, 1 -> 6
b : -712.0000, 1 -> 5
c : -469.0000, 1 -> 5
d : -270.0000, 1 -> 5
a : 954.0000, 2 -> 6
b : -749.0000, 2 -> 7
c : 279.0000, 2 -> 0
d : -750.0000, 2 -> 3
a : 114.0000, 3 -> 0
b : 758.0000, 3 -> 2
c : -897.0000, 3 -> 4
d : -647.0000, 3 -> 2
a : -603.0000, 4 -> 7
b : -782.0000, 4 -> 3
c : 726.0000, 4 -> 6
d : 274.0000, 4 -> 3
a : -343.0000, 5 -> 7
b : -893.0000, 5 -> 2
c : 679.0000, 5 -> 7
d : -579.0000, 5 -> 6
a : -855.0000, 6 -> 7
b : -178.0000, 6 -> 1
c : 27.0000, 6 -> 0
d : 902.0000, 6 -> 4
a : 835.0000, 7 -> 2
b : -296.0000, 7 -> 7
c : 955.0000, 7 -> 0
d : 591.0000, 7 -> 1
c : -103.0000, 0 -> 5
b : 780.0000, 0 -> 3
b : -436.0000, 1 -> 3
d : -550.0000, 1 -> 6
c : -935.0000, 2 -> 2
a : -742.0000, 2 -> 7
a : 135.0000, 3 -> 5
b : 637.0000, 3 -> 0
d : -410.0000, 4 -> 5
a : -128.0000, 4 -> 6
d : -359.0000, 5 -> 5
b : 577.0000, 5 -> 0
c : -399.0000, 6 -> 5
a : -477.0000, 6 -> 5
c : 910.0000, 7 -> 5
b : -596.0000, 7 -> 4
