a : 414.0000, 0 -> 4
b : 849.0000, 0 -> 6
a : -291.0000, 1 -> 7
b : -263.0000, 1 -> 0
a : 748.0000, 2 -> 4
b : -220.0000, 2 -> 2
a : 670.0000, 3 -> 7
b : 920.0000, 3 -> 3
a : -389.0000, 4 -> 3
b : -581.0000, 4 -> 3
a : 288.0000, 5 -> 3
b : 829.0000, 5 -> 6
a : -994.0000, 6 -> 2
b : -776.0000, 6 -> 1
a : -931.0000, 7 -> 7
b : -963.0000, 7 -> 2
a : -172.0000, 0 -> 1
a : 186.0000, 1 -> 3
b : 155.0000, 2 -> 5
b : 665.0000, 3 -> 2
a : 31.0000, 4 -> 4
b : -322.0000, 5 -> 5
b : 792.0000, 6 -> 5
a : 22.0000, 7 -> 0
