a : -608.0000, 0 -> 7
b : -253.0000, 0 -> 2
c : -660.0000, 0 -> 0
d : -418.0000, 0 -> 5
a : -675.0000, 1 -> 7
b : -185.0000, 1 -> 3
c : -381.0000, 1 -> 5
d : 64.0000, 1 -> 3
a : 333.0000, 2 -> 1
b : 498.0000, 2 -> 2
c : -989.0000, 2 -> 6
d : -483.0000, 2 -> 6
a : -585.0000, 3 -> 3
b : 634.0000, 3 -> 5
c : 772.0000, 3 -> 2
d : 410.0000, 3 -> 6
a : 480.0000, 4 -> 1
b : -916.0000, 4 -> 0
c : -564.0000, 4 -> 2
d : -569.0000, 4 -> 2
a : 514.0000, 5 -> 4
b : -581.0000, 5 -> 2
c : 8.0000, 5 -> 0
d : 965.0000, 5 -> 4
a : 407.0000, 6 -> 3
b : 933.0000, 6 -> 7
c : -822.0000, 6 -> 3
d : -739.0000, 6 -> 0
a : 61.0000, 7 -> 7
b : -252.0000, 7 -> 6
c : 144.0000, 7 -> 7
d : 614.0000, 7 -> 6
c : -504.0000, 0 -> 3
a : -967.0000, 0 -> 3
b : 342.0000, 1 -> 0
c : -890.0000, 1 -> 2
a : -700.0000, 2 -> 4
b : -966.0000, 2 -> 1
c : 801.0000, 3 -> 4
a : 584.0000, 3 -> 1
b : -874.0000, 4 -> 7
c : 356.0000, 4 -> 7
c : -236.0000, 5 -> 7
b : -193.0000, 5 -> 3
a : -913.0000, 6 -> 0
c : -72.0000, 6 -> 6
c : -820.0000, 7 -> 4
d : 132.0000, 7 -> 4
