a : 905.0000, 0 -> 2
b : 87.0000, 0 -> 7
c : 637.0000, 0 -> 7
d : 712.0000, 0 -> 7
a : -752.0000, 1 -> 4
b : -979.0000, 1 -> 0
c : -471.0000, 1 -> 5
d : -664.0000, 1 -> 0
a : -734.0000, 2 -> 0
b : -598.0000, 2 -> 2
c : -581.0000, 2 -> 1
d : 73.0000, 2 -> 0
a : 172.0000, 3 -> 2
b : -505.0000, 3 -> 2
c : 948.0000, 3 -> 4
d : 80.0000, 3 -> 6
a : -642.0000, 4 -> 5
b : -60.0000, 4 -> 4
c : -594.0000, 4 -> 0
d : 495.0000, 4 -> 2
a : -810.0000, 5 -> 7
b : 642.0000, 5 -> 5
c : 727.0000, 5 -> 7
d : -950.0000, 5 -> 2
a : 466.0000, 6 -> 4
b : 620.0000, 6 -> 4
c : 884.0000, 6 -> 1
d : -321.0000, 6 -> 5
a : -28.0000, 7 -> 5
b : 316.0000, 7 -> 6
c : -135.0000, 7 -> 4
d : -680.0000, 7 -> 0
c : 886.0000, 0 -> 6
a : 727.0000, 0 -> 0
c : 485.0000, 1 -> 7
b : 739.0000, 1 -> 1
d : 270.0000, 2 -> 3
c : 238.0000, 2 -> 0
c : 38.0000, 3 -> 5
a : 251.0000, 3 -> 6
b : 787.0000, 4 -> 5
d : -46.0000, 4 -> 4
a : 291.0000, 5 -> 6
b : 458.0000, 5 -> 2
d : 579.0000, 6 -> 1
b : -993.0000, 6 -> 0
a : -471.0000, 7 -> 4
b : 311.0000, 7 -> 2
