a : 411.0000, 0 -> 1
b : 160.0000, 0 -> 4
a : 787.0000, 1 -> 2
b : 316.0000, 1 -> 4
a : -412.0000, 2 -> 5
b : -861.0000, 2 -> 2
a : -712.0000, 3 -> 3
b : 987.0000, 3 -> 1
a : -955.0000, 4 -> 6
b : -225.0000, 4 -> 2
a : -508.0000, 5 -> 3
b : 581.0000, 5 -> 6
a : 838.0000, 6 -> 3
b : 350.0000, 6 -> 5
a : -960.0000, 7 -> 4
b : 750.0000, 7 -> 6
a : -695.0000, 0 -> 4
b : 664.0000, 1 -> 1
a : 266.0000, 2 -> 0
b : 508.0000, 3 -> 0
a : 177.0000, 4 -> 4
b : -195.0000, 5 -> 4
a : 282.0000, 6 -> 1
a : 595.0000, 7 -> 0
a : -796.0000, 2 -> 7
