a : -334.0000, 0 -> 2
b : -672.0000, 0 -> 1
a : 885.0000, 1 -> 7
b : -503.0000, 1 -> 1
a : 566.0000, 2 -> 2
b : 598.0000, 2 -> 4
a : -82.0000, 3 -> 3
b : 938.0000, 3 -> 7
a : 231.0000, 4 -> 6
b : -741.0000, 4 -> 0
a : 703.0000, 5 -> 2
b : -313.0000, 5 -> 6
a : -4.0000, 6 -> 3
b : -264.0000, 6 -> 7
a : -202.0000, 7 -> 7
b : -90.0000, 7 -> 0
b : 153.0000, 0 -> 2
b : 327.0000, 1 -> 3
a : -986.0000, 2 -> 0
b : 197.0000, 3 -> 4
a : -633.0000, 4 -> 4
b : -884.0000, 5 -> 7
a : -608.0000, 6 -> 4
a : -993.0000, 7 -> 0
a : 406.0000, 4 -> 5
