a : 365.0000, 0 -> 6
b : -197.0000, 0 -> 0
a : -396.0000, 1 -> 5
b : 713.0000, 1 -> 6
a : -140.0000, 2 -> 7
b : -807.0000, 2 -> 4
a : -964.0000, 3 -> 6
b : 114.0000, 3 -> 2
a : -434.0000, 4 -> 7
b : -514.0000, 4 -> 1
a : -657.0000, 5 -> 1
b : -383.0000, 5 -> 4
a : -764.0000, 6 -> 6
b : -433.0000, 6 -> 1
a : -51.0000, 7 -> 1
b : 736.0000, 7 -> 3
b : -874.0000, 0 -> 2
b : -300.0000, 1 -> 3
b : 397.0000, 2 -> 0
a : 644.0000, 3 -> 5
b : -152.0000, 4 -> 6
b : -105.0000, 5 -> 6
b : -548.0000, 6 -> 7
b : 601.0000, 7 -> 7
