a : 437.0000, 0 -> 0
b : -798.0000, 0 -> 0
c : -544.0000, 0 -> 3
d : 756.0000, 0 -> 1
a : 45.0000, 1 -> 2
b : 896.0000, 1 -> 2
c : -748.0000, 1 -> 2
d : 156.0000, 1 -> 2
a : -263.0000, 2 -> 2
b : -408.0000, 2 -> 1
c : -353.0000, 2 -> 1
d : -516.0000, 2 -> 2
a : -810.0000, 3 -> 2
b : -489.0000, 3 -> 1
c : -270.0000, 3 -> 2
d : -874.0000, 3 -> 3
a : 865.0000, 0 -> 1
c : -340.0000, 0 -> 2
d : 965.0000, 1 -> 3
d : -470.0000, 1 -> 1
a : -907.0000, 2 -> 1
b : -416.0000, 2 -> 0
d : -81.0000, 3 -> 1
b : 430.0000, 3 -> 3
