a : -232.0000, 0 -> 4
b : 914.0000, 0 -> 7
c : -475.0000, 0 -> 6
d : -935.0000, 0 -> 7
a : 130.0000, 1 -> 7
b : 425.0000, 1 -> 2
c : -931.0000, 1 -> 0
d : -503.0000, 1 -> 7
a : 866.0000, 2 -> 2
b : 828.0000, 2 -> 5
c : -453.0000, 2 -> 1
d : -403.0000, 2 -> 4
a : -436.0000, 3 -> 2
b : 630.0000, 3 -> 2
c : -316.0000, 3 -> 7
d : -710.0000, 3 -> 1
a : 21.0000, 4 -> 6
b : -746.0000, 4 -> 1
c : -438.0000, 4 -> 1
d : -701.0000, 4 -> 0
a : -629.0000, 5 -> 6
b : -669.0000, 5 -> 6
c : -89.0000, 5 -> 6
d : 742.0000, 5 -> 5
a : 834.0000, 6 -> 3
b : 16.0000, 6 -> 2
c : 423.0000, 6 -> 7
d : 227.0000, 6 -> 4
a : 398.0000, 7 -> 7
b : 572.0000, 7 -> 6
c : 58.0000, 7 -> 3
d : 529.0000, 7 -> 3
b : -286.0000, 0 -> 2
b : 944.0000, 0 -> 6
d : 801.0000, 1 -> 0
b : -183.0000, 1 -> 7
d : 327.0000, 2 -> 2
c : -250.0000, 2 -> 6
d : 489.0000, 3 -> 5
d : 377.0000, 3 -> 0
a : -888.0000, 4 -> 4
a : -394.0000, 4 -> 0
b : -29.0000, 5 -> 7
a : -255.0000, 5 -> 5
a : 377.0000, 6 -> 7
a : 71.0000, 6 -> 0
d : -506.0000, 7 -> 6
b : -312.0000, 7 -> 1
