a : 412.0000, 0 -> 7
b : 229.0000, 0 -> 4
a : -388.0000, 1 -> 6
b : 660.0000, 1 -> 5
a : -882.0000, 2 -> 2
b : 140.0000, 2 -> 0
a : 693.0000, 3 -> 4
b : 247.0000, 3 -> 3
a : -222.0000, 4 -> 0
b : -187.0000, 4 -> 7
a : 385.0000, 5 -> 1
b : -968.0000, 5 -> 1
a : 164.0000, 6 -> 7
b : -683.0000, 6 -> 0
a : -215.0000, 7 -> 6
b : 221.0000, 7 -> 6
b : -495.0000, 0 -> 3
a : 265.0000, 1 -> 4
b : -92.0000, 2 -> 7
b : -361.0000, 3 -> 6
a : 978.0000, 4 -> 6
b : -884.0000, 5 -> 7
b : -396.0000, 6 -> 1
a : -822.0000, 7 -> 4
a : 734.0000, 5 -> 2
