a : 825.0000, 0 -> 6
b : -466.0000, 0 -> 0
a : 327.0000, 1 -> 5
b : -286.0000, 1 -> 4
a : -590.0000, 2 -> 2
b : 219.0000, 2 -> 2
a : 866.0000, 3 -> 1
b : -303.0000, 3 -> 5
a : -655.0000, 4 -> 1
b : 825.0000, 4 -> 6
a : -550.0000, 5 -> 2
b : 993.0000, 5 -> 1
a : 540.0000, 6 -> 7
b : -765.0000, 6 -> 6
a : -592.0000, 7 -> 0
b : -162.0000, 7 -> 7
b : 890.0000, 0 -> 1
b : 978.0000, 1 -> 7
b : 508.0000, 2 -> 0
a : -598.0000, 3 -> 2
a : -187.0000, 4 -> 3
b : -572.0000, 5 -> 7
b : -520.0000, 6 -> 2
a : -478.0000, 7 -> 4
