a : 426.0000, 0 -> 3
b : 19.0000, 0 -> 0
c : 765.0000, 0 -> 7
d : 898.0000, 0 -> 3
a : 476.0000, 1 -> 1
b : -11.0000, 1 -> 4
c : 978.0000, 1 -> 3
d : 194.0000, 1 -> 4
a : 911.0000, 2 -> 4
b : 488.0000, 2 -> 0
c : -197.0000, 2 -> 6
d : -526.0000, 2 -> 7
a : 611.0000, 3 -> 1
b : -754.0000, 3 -> 2
c : -348.0000, 3 -> 2
d : -433.0000, 3 -> 1
a : -288.0000, 4 -> 3
b : 313.0000, 4 -> 4
c : 81.0000, 4 -> 3
d : 276.0000, 4 -> 2
a : 410.0000, 5 -> 6
b : -165.0000, 5 -> 3
c : 607.0000, 5 -> 1
d : -102.0000, 5 -> 2
a : -135.0000, 6 -> 5
b : -217.0000, 6 -> 4
c : 609.0000, 6 -> 6
d : -645.0000, 6 -> 4
a : 28.0000, 7 -> 2
b : 505.0000, 7 -> 2
c : 372.0000, 7 -> 3
d : 696.0000, 7 -> 1
a : -801.0000, 0 -> 1
a : -205.0000, 0 -> 2
a : -969.0000, 1 -> 2
a : 866.0000, 1 -> 0
b : -560.0000, 2 -> 3
a : -832.0000, 2 -> 2
c : -861.0000, 3 -> 3
a : 923.0000, 3 -> 3
d : -105.0000, 4 -> 7
d : -868.0000, 4 -> 5
c : 692.0000, 5 -> 0
d : -359.0000, 5 -> 5
d : 310.0000, 6 -> 1
a : -761.0000, 6 -> 6
c : 926.0000, 7 -> 7
b : -92.0000, 7 -> 1
