a : -68.0000, 0 -> 3
b : 455.0000, 0 -> 3
c : 571.0000, 0 -> 1
d : -49.0000, 0 -> 1
a : 759.0000, 1 -> 0
b : -283.0000, 1 -> 2
c : -157.0000, 1 -> 3
d : -28.0000, 1 -> 1
a : -903.0000, 2 -> 1
b : 408.0000, 2 -> 2
c : 687.0000, 2 -> 1
d : -270.0000, 2 -> 0
a : 905.0000, 3 -> 1
b : -984.0000, 3 -> 2
c : 643.0000, 3 -> 3
d : 144.0000, 3 -> 1
c : 446.0000, 0 -> 3
a : 852.0000, 0 -> 2
a : 719.0000, 1 -> 2
a : -732.0000, 1 -> 3
d : -532.0000, 2 -> 3
d : -726.0000, 2 -> 1
d : 48.0000, 3 -> 0
c : 937.0000, 3 -> 0
