a : 587.0000, 0 -> 6
b : 308.0000, 0 -> 1
a : -192.0000, 1 -> 6
b : 586.0000, 1 -> 5
a : 165.0000, 2 -> 4
b : 855.0000, 2 -> 3
a : -465.0000, 3 -> 5
b : -335.0000, 3 -> 5
a : 308.0000, 4 -> 5
b : -431.0000, 4 -> 1
a : -155.0000, 5 -> 1
b : -11.0000, 5 -> 4
a : 538.0000, 6 -> 0
b : 419.0000, 6 -> 6
a : 575.0000, 7 -> 6
b : 651.0000, 7 -> 7
b : -973.0000, 0 -> 3
a : -413.0000, 1 -> 2
b : -395.0000, 2 -> 0
a : -84.0000, 3 -> 4
a : -496.0000, 4 -> 6
a : -346.0000, 5 -> 0
b : -72.0000, 6 -> 5
b : 901.0000, 7 -> 6
b : 819.0000, 1 -> 7
