a : 651.0000, 0 -> 2
b : 632.0000, 0 -> 5
c : 837.0000, 0 -> 3
d : 118.0000, 0 -> 2
a : -544.0000, 1 -> 2
b : 958.0000, 1 -> 2
c : -455.0000, 1 -> 2
d : -445.0000, 1 -> 6
a : -360.0000, 2 -> 7
b : 675.0000, 2 -> 4
c : 666.0000, 2 -> 2
d : 603.0000, 2 -> 2
a : -116.0000, 3 -> 4
b : 102.0000, 3 -> 1
c : -889.0000, 3 -> 3
d : 924.0000, 3 -> 0
a : 79.0000, 4 -> 2
b : -740.0000, 4 -> 1
c : -882.0000, 4 -> 6
d : 731.0000, 4 -> 3
a : 728.0000, 5 -> 7
b : -346.0000, 5 -> 1
c : -684.0000, 5 -> 5
d : 499.0000, 5 -> 6
a : 254.0000, 6 -> 5
b : -113.0000, 6 -> 5
c : 487.0000, 6 -> 5
d : 397.0000, 6 -> 1
a : 509.0000, 7 -> 6
b : 11.0000, 7 -> 6
c : 731.0000, 7 -> 2
d : 189.0000, 7 -> 3
c : -348.0000, 0 -> 5
d : 328.0000, 0 -> 1
c : -733.0000, 1 -> 1
b : -189.0000, 1 -> 5
b : 113.0000, 2 -> 7
b : -685.0000, 2 -> 0
a : 349.0000, 3 -> 3
d : -725.0000, 3 -> 4
c : 181.0000, 4 -> 4
c : -955.0000, 4 -> 3
c : 82.0000, 5 -> 4
c : -331.0000, 5 -> 2
c : -313.0000, 6 -> 0
d : 80.0000, 6 -> 6
a : -752.0000, 7 -> 5
b : 122.0000, 7 -> 4
