a : 857.0000, 0 -> 0
b : -218.0000, 0 -> 4
c : 75.0000, 0 -> 2
d : 563.0000, 0 -> 1
a : -513.0000, 1 -> 7
b : 858.0000, 1 -> 7
c : -177.0000, 1 -> 5
d : -334.0000, 1 -> 5
a : 586.0000, 2 -> 3
b : -966.0000, 2 -> 7
c : 465.0000, 2 -> 5
d : -581.0000, 2 -> 6
a : 339.0000, 3 -> 3
b : -683.0000, 3 -> 0
c : 113.0000, 3 -> 6
d : -143.0000, 3 -> 1
a : -339.0000, 4 -> 2
b : 183.0000, 4 -> 1
c : 701.0000, 4 -> 2
d : 168.0000, 4 -> 4
a : 215.0000, 5 -> 1
b : 510.0000, 5 -> 3
c : -364.0000, 5 -> 5
d : 276.0000, 5 -> 6
a : 379.0000, 6 -> 7
b : -416.0000, 6 -> 2
c : -174.0000, 6 -> 3
d : 917.0000, 6 -> 3
a : 692.0000, 7 -> 5
b : 444.0000, 7 -> 3
c : 961.0000, 7 -> 7
d : -738.0000, 7 -> 1
b : 204.0000, 0 -> 3
c : -735.0000, 0 -> 6
b : 974.0000, 1 -> 0
a : -638.0000, 1 -> 3
c : -511.0000, 2 -> 3
b : 309.0000, 2 -> 2
b : -185.0000, 3 -> 3
b : 740.0000, 3 -> 7
a : 399.0000, 4 -> 7
d : 644.0000, 4 -> 7
a : -481.0000, 5 -> 6
a : -231.0000, 5 -> 4
d : 978.0000, 6 -> 6
b : 852.0000, 6 -> 1
c : -971.0000, 7 -> 6
a : 868.0000, 7 -> 7
