a : 340.0000, 0 -> 6
b : -469.0000, 0 -> 2
a : -409.0000, 1 -> 4
b : -977.0000, 1 -> 5
a : 152.0000, 2 -> 2
b : -471.0000, 2 -> 5
a : 52.0000, 3 -> 2
b : -408.0000, 3 -> 6
a : 790.0000, 4 -> 5
b : 173.0000, 4 -> 2
a : 284.0000, 5 -> 5
b : 374.0000, 5 -> 2
a : -620.0000, 6 -> 3
b : 97.0000, 6 -> 7
a : 418.0000, 7 -> 0
b : -922.0000, 7 -> 7
a : -543.0000, 0 -> 4
a : -415.0000, 1 -> 0
b : 563.0000, 2 -> 6
b : 311.0000, 3 -> 0
a : -250.0000, 4 -> 4
b : 335.0000, 5 -> 4
b : 325.0000, 6 -> 1
a : 844.0000, 7 -> 6
