a : -610.0000, 0 -> 4
b : -583.0000, 0 -> 0
c : 508.0000, 0 -> 1
d : -54.0000, 0 -> 6
a : 302.0000, 1 -> 5
b : 474.0000, 1 -> 2
c : 687.0000, 1 -> 0
d : 712.0000, 1 -> 2
a : -699.0000, 2 -> 5
b : -417.0000, 2 -> 5
c : 881.0000, 2 -> 3
d : -945.0000, 2 -> 7
a : -254.0000, 3 -> 6
b : 449.0000, 3 -> 7
c : 878.0000, 3 -> 0
d : 614.0000, 3 -> 5
a : 247.0000, 4 -> 4
b : -108.0000, 4 -> 5
c : -148.0000, 4 -> 5
d : 140.0000, 4 -> 2
a : 753.0000, 5 -> 3
b : -46.0000, 5 -> 2
c : -748.0000, 5 -> 5
d : 517.0000, 5 -> 7
a : -33.0000, 6 -> 1
b : -595.0000, 6 -> 5
c : 690.0000, 6 -> 1
d : 376.0000, 6 -> 1
a : 308.0000, 7 -> 2
b : 873.0000, 7 -> 5
c : -131.0000, 7 -> 6
d : 483.0000, 7 -> 4
d : -280.0000, 0 -> 5
a : 821.0000, 0 -> 2
a : 938.0000, 1 -> 4
b : 82.0000, 1 -> 1
b : 633.0000, 2 -> 1
c : -795.0000, 2 -> 1
b : -48.0000, 3 -> 2
a : 86.0000, 3 -> 5
a : -96.0000, 4 -> 1
a : 973.0000, 4 -> 6
d : -576.0000, 5 -> 0
d : 955.0000, 5 -> 2
a : 250.0000, 6 -> 7
d : 174.0000, 6 -> 0
d : -965.0000, 7 -> 0
b : -491.0000, 7 -> 3
