a : 680.0000, 0 -> 0
b : 979.0000, 0 -> 0
a : 339.0000, 1 -> 1
b : 413.0000, 1 -> 5
a : 201.0000, 2 -> 4
b : -518.0000, 2 -> 0
a : 799.0000, 3 -> 0
b : 824.0000, 3 -> 5
a : 717.0000, 4 -> 3
b : 34.0000, 4 -> 3
a : 36.0000, 5 -> 3
b : -147.0000, 5 -> 2
a : 554.0000, 6 -> 4
b : 363.0000, 6 -> 5
a : 722.0000, 7 -> 2
b : -550.0000, 7 -> 4
a : 130.0000, 0 -> 2
a : 763.0000, 1 -> 0
a : 689.0000, 2 -> 5
a : 715.0000, 3 -> 4
a : 415.0000, 4 -> 5
b : 666.0000, 5 -> 5
a : 775.0000, 6 -> 6
b : 511.0000, 7 -> 1
b : -813.0000, 5 -> 7
a : 686.0000, 0 -> 6
