d : -5.7467, 3 -> 2
d : -0.9020, 4 -> 5
b : 8.6756, 6 -> 4
a : 4.3386, 7 -> 3
d : 9.2426, 2 -> 6
a : -0.2753, 6 -> 1
a : -4.4258, 0 -> 2
b : -6.9217, 6 -> 5
c : -9.3407, 6 -> 7
d : 7.9736, 4 -> 6
b : -2.6437, 4 -> 1
b : 1.0650, 7 -> 3
c : -7.9268, 5 -> 2
c : 6.5626, 1 -> 5
d : 5.9126, 5 -> 7
a : 5.5950, 2 -> 4
a : 2.1929, 6 -> 2
d : 3.3199, 0 -> 0
b : -5.2987, 5 -> 0
a : 1.7460, 4 -> 5
a : 8.6678, 3 -> 0
d : -6.8082, 1 -> 0
a : 1.0603, 2 -> 3
d : 5.3948, 5 -> 2
b : -5.7413, 0 -> 5
c : 3.1935, 4 -> 3
d : -3.2825, 6 -> 4
a : 8.8122, 1 -> 0
a : -8.9726, 5 -> 0
c : 7.3749, 3 -> 2
b : 0.7035, 1 -> 0
c : -6.2539, 2 -> 6
b : -9.6005, 3 -> 6
d : 9.2189, 0 -> 6
c : 2.2519, 2 -> 6
c : -3.0074, 5 -> 1
d : -2.2162, 7 -> 6
c : 0.5146, 0 -> 5
c : -4.2127, 0 -> 3
a : -1.8018, 3 -> 3
b : -2.9638, 3 -> 3
b : -4.9769, 4 -> 5
c : -4.9499, 1 -> 2
c : -4.5822, 1 -> 4
b : -1.0685, 2 -> 1
b : -9.5436, 7 -> 6
b : 8.7291, 7 -> 6
c : -0.3949, 7 -> 1
