a : 608.0000, 0 -> 2
b : -899.0000, 0 -> 3
a : 345.0000, 1 -> 2
b : 419.0000, 1 -> 1
a : 884.0000, 2 -> 2
b : -587.0000, 2 -> 6
a : -972.0000, 3 -> 2
b : 878.0000, 3 -> 0
a : 119.0000, 4 -> 5
b : -512.0000, 4 -> 3
a : -116.0000, 5 -> 5
b : 447.0000, 5 -> 3
a : -102.0000, 6 -> 5
b : 484.0000, 6 -> 2
a : -777.0000, 7 -> 1
b : 952.0000, 7 -> 7
b : 89.0000, 0 -> 6
b : -148.0000, 1 -> 5
a : 679.0000, 2 -> 4
a : -482.0000, 3 -> 3
a : 78.0000, 4 -> 0
a : 265.0000, 5 -> 7
a : 387.0000, 6 -> 7
a : -384.0000, 7 -> 4
