a : 407.0000, 0 -> 3
b : -376.0000, 0 -> 3
c : 57.0000, 0 -> 1
d : -849.0000, 0 -> 3
a : -549.0000, 1 -> 3
b : -255.0000, 1 -> 1
c : 346.0000, 1 -> 0
d : 913.0000, 1 -> 2
a : -403.0000, 2 -> 1
b : -664.0000, 2 -> 3
c : 469.0000, 2 -> 2
d : -964.0000, 2 -> 3
a : 456.0000, 3 -> 3
b : 8.0000, 3 -> 2
c : 928.0000, 3 -> 2
d : 770.0000, 3 -> 0
b : -718.0000, 0 -> 0
c : -571.0000, 0 -> 0
a : 241.0000, 1 -> 2
a : 601.0000, 1 -> 0
d : -411.0000, 2 -> 1
a : -77.0000, 2 -> 0
b : -402.0000, 3 -> 3
a : -339.0000, 3 -> 2
