a : 951.0000, 0 -> 4
b : 454.0000, 0 -> 2
a : 35.0000, 1 -> 7
b : -917.0000, 1 -> 3
a : 295.0000, 2 -> 7
b : 481.0000, 2 -> 4
a : -647.0000, 3 -> 1
b : -192.0000, 3 -> 3
a : -743.0000, 4 -> 7
b : -60.0000, 4 -> 0
a : -658.0000, 5 -> 1
b : 742.0000, 5 -> 0
a : 610.0000, 6 -> 0
b : -201.0000, 6 -> 1
a : 283.0000, 7 -> 6
b : -187.0000, 7 -> 2
b : -898.0000, 0 -> 6
a : -260.0000, 1 -> 2
b : 612.0000, 2 -> 7
a : 422.0000, 3 -> 3
b : 668.0000, 4 -> 2
a : -899.0000, 5 -> 5
a : 182.0000, 6 -> 5
b : 116.0000, 7 -> 4
