a : 599.0000, 0 -> 0
b : 252.0000, 0 -> 7
c : 600.0000, 0 -> 6
d : 744.0000, 0 -> 6
a : 471.0000, 1 -> 2
b : 624.0000, 1 -> 0
c : 431.0000, 1 -> 4
d : 44.0000, 1 -> 2
a : -186.0000, 2 -> 5
b : -865.0000, 2 -> 4
c : -610.0000, 2 -> 5
d : 0.0000, 2 -> 7
a : 869.0000, 3 -> 3
b : -937.0000, 3 -> 7
c : -335.0000, 3 -> 2
d : -872.0000, 3 -> 7
a : -126.0000, 4 -> 5
b : 695.0000, 4 -> 6
c : -726.0000, 4 -> 1
d : -170.0000, 4 -> 6
a : 410.0000, 5 -> 4
b : -175.0000, 5 -> 6
c : -520.0000, 5 -> 5
d : 666.0000, 5 -> 7
a : 101.0000, 6 -> 3
b : 949.0000, 6 -> 2
c : -867.0000, 6 -> 3
d : -388.0000, 6 -> 2
a : -893.0000, 7 -> 5
b : 128.0000, 7 -> 5
c : 756.0000, 7 -> 1
d : -718.0000, 7 -> 5
c : -514.0000, 0 -> 5
a : -431.0000, 0 -> 5
d : 504.0000, 1 -> 1
c : -211.0000, 1 -> 2
d : 396.0000, 2 -> 6
b : -640.0000, 2 -> 5
d : -897.0000, 3 -> 3
c : 304.0000, 3 -> 4
c : 9.0000, 4 -> 4
a : 709.0000, 4 -> 1
c : -489.0000, 5 -> 3
d : -885.0000, 5 -> 2
d : 814.0000, 6 -> 1
b : -542.0000, 6 -> 4
d : 964.0000, 7 -> 3
b : 116.0000, 7 -> 0
