a : -883.0000, 0 -> 1
b : 914.0000, 0 -> 2
c : -350.0000, 0 -> 2
d : -322.0000, 0 -> 1
a : 640.0000, 1 -> 1
b : 218.0000, 1 -> 0
c : 650.0000, 1 -> 3
d : 141.0000, 1 -> 0
a : -156.0000, 2 -> 1
b : -636.0000, 2 -> 1
c : -914.0000, 2 -> 1
d : 629.0000, 2 -> 1
a : 27.0000, 3 -> 0
b : -3.0000, 3 -> 1
c : -762.0000, 3 -> 1
d : 994.0000, 3 -> 2
c : 950.0000, 0 -> 1
d : 139.0000, 0 -> 3
a : -706.0000, 1 -> 3
d : -308.0000, 1 -> 3
c : -795.0000, 2 -> 2
d : 86.0000, 2 -> 3
d : -615.0000, 3 -> 1
b : -824.0000, 3 -> 2
