a : -47.0000, 0 -> 1
b : -890.0000, 0 -> 1
c : 723.0000, 0 -> 6
d : 40.0000, 0 -> 4
a : 256.0000, 1 -> 2
b : -269.0000, 1 -> 1
c : -952.0000, 1 -> 6
d : 864.0000, 1 -> 2
a : -972.0000, 2 -> 6
b : -992.0000, 2 -> 1
c : 863.0000, 2 -> 3
d : -878.0000, 2 -> 4
a : 62.0000, 3 -> 2
b : -994.0000, 3 -> 7
c : -541.0000, 3 -> 7
d : -58.0000, 3 -> 1
a : 428.0000, 4 -> 7
b : 284.0000, 4 -> 4
c : -515.0000, 4 -> 3
d : 147.0000, 4 -> 7
a : 264.0000, 5 -> 5
b : 199.0000, 5 -> 0
c : -166.0000, 5 -> 2
d : 810.0000, 5 -> 3
a : -88.0000, 6 -> 3
b : 163.0000, 6 -> 4
c : -872.0000, 6 -> 7
d : -524.0000, 6 -> 3
a : -110.0000, 7 -> 7
b : 900.0000, 7 -> 3
c : 399.0000, 7 -> 7
d : -75.0000, 7 -> 6
c : -195.0000, 0 -> 0
d : -287.0000, 0 -> 0
b : 533.0000, 1 -> 4
d : -199.0000, 1 -> 4
c : -698.0000, 2 -> 2
d : -888.0000, 2 -> 7
a : 975.0000, 3 -> 4
b : 92.0000, 3 -> 3
c : -715.0000, 4 -> 6
d : 518.0000, 4 -> 4
a : -231.0000, 5 -> 1
d : 936.0000, 5 -> 7
b : 782.0000, 6 -> 7
a : -331.0000, 6 -> 0
a : -362.0000, 7 -> 3
b : -954.0000, 7 -> 4
a : -30.0000, 0 -> 5
