a : -589.0000, 0 -> 0
b : 880.0000, 0 -> 1
c : -490.0000, 0 -> 2
d : 543.0000, 0 -> 3
a : 807.0000, 1 -> 3
b : 877.0000, 1 -> 2
c : 694.0000, 1 -> 1
d : -368.0000, 1 -> 3
a : -91.0000, 2 -> 3
b : -388.0000, 2 -> 0
c : 55.0000, 2 -> 3
d : -545.0000, 2 -> 3
a : -553.0000, 3 -> 2
b : 353.0000, 3 -> 0
c : 389.0000, 3 -> 3
d : -180.0000, 3 -> 3
a : -739.0000, 0 -> 1
a : -867.0000, 0 -> 3
c : 10.0000, 1 -> 2
b : -484.0000, 1 -> 0
c : 465.0000, 2 -> 0
d : -531.0000, 2 -> 0
d : 322.0000, 3 -> 2
c : 465.0000, 3 -> 0
