a : -152.0000, 0 -> 2
b : -235.0000, 0 -> 0
c : 605.0000, 0 -> 0
d : -961.0000, 0 -> 3
a : 723.0000, 1 -> 2
b : 188.0000, 1 -> 3
c : 744.0000, 1 -> 1
d : -161.0000, 1 -> 3
a : -994.0000, 2 -> 0
b : 502.0000, 2 -> 2
c : 164.0000, 2 -> 1
d : 416.0000, 2 -> 2
a : 848.0000, 3 -> 3
b : -414.0000, 3 -> 3
c : -64.0000, 3 -> 2
d : 720.0000, 3 -> 2
b : 38.0000, 0 -> 1
a : -132.0000, 0 -> 3
a : 305.0000, 1 -> 0
d : -168.0000, 1 -> 0
d : 54.0000, 2 -> 0
c : -141.0000, 2 -> 2
c : 758.0000, 3 -> 3
d : 922.0000, 3 -> 0
