a : -172.0000, 0 -> 2
b : 433.0000, 0 -> 0
c : 344.0000, 0 -> 2
d : 426.0000, 0 -> 0
a : 266.0000, 1 -> 0
b : -836.0000, 1 -> 1
c : -964.0000, 1 -> 2
d : -228.0000, 1 -> 3
a : 772.0000, 2 -> 2
b : -854.0000, 2 -> 2
c : -14.0000, 2 -> 3
d : 536.0000, 2 -> 0
a : -732.0000, 3 -> 2
b : 643.0000, 3 -> 0
c : 742.0000, 3 -> 3
d : -66.0000, 3 -> 0
b : 142.0000, 0 -> 2
d : 879.0000, 0 -> 1
c : 372.0000, 1 -> 3
c : -636.0000, 1 -> 0
d : 460.0000, 2 -> 3
a : -733.0000, 2 -> 1
a : 815.0000, 3 -> 1
a : 100.0000, 3 -> 3
