a : 23.0000, 0 -> 1
b : -558.0000, 0 -> 0
c : -302.0000, 0 -> 1
d : -364.0000, 0 -> 3
a : -70.0000, 1 -> 3
b : 159.0000, 1 -> 3
c : 140.0000, 1 -> 2
d : 529.0000, 1 -> 1
a : 129.0000, 2 -> 2
b : 605.0000, 2 -> 3
c : 640.0000, 2 -> 0
d : -801.0000, 2 -> 1
a : 87.0000, 3 -> 0
b : 372.0000, 3 -> 3
c : 229.0000, 3 -> 0
d : 496.0000, 3 -> 3
d : -856.0000, 0 -> 1
b : -646.0000, 0 -> 2
d : 92.0000, 1 -> 0
a : -967.0000, 1 -> 1
c : -809.0000, 2 -> 1
b : -580.0000, 2 -> 1
b : -505.0000, 3 -> 1
c : 820.0000, 3 -> 3
