a : 272.0000, 0 -> 2
b : -615.0000, 0 -> 4
a : 519.0000, 1 -> 4
b : 572.0000, 1 -> 7
a : 957.0000, 2 -> 0
b : 15.0000, 2 -> 0
a : 801.0000, 3 -> 5
b : 597.0000, 3 -> 5
a : 948.0000, 4 -> 1
b : -165.0000, 4 -> 3
a : 66.0000, 5 -> 0
b : 98.0000, 5 -> 2
a : -136.0000, 6 -> 3
b : -399.0000, 6 -> 1
a : 224.0000, 7 -> 2
b : -315.0000, 7 -> 2
a : 392.0000, 0 -> 4
b : -103.0000, 1 -> 0
a : -710.0000, 2 -> 5
a : 118.0000, 3 -> 1
b : 300.0000, 4 -> 1
b : -118.0000, 5 -> 6
a : 124.0000, 6 -> 7
b : -259.0000, 7 -> 0
