a : -35.0000, 0 -> 6
b : 614.0000, 0 -> 3
c : 229.0000, 0 -> 5
d : 297.0000, 0 -> 1
a : -212.0000, 1 -> 4
b : -300.0000, 1 -> 1
c : 294.0000, 1 -> 6
d : -403.0000, 1 -> 0
a : -869.0000, 2 -> 4
b : 430.0000, 2 -> 7
c : -661.0000, 2 -> 6
d : -470.0000, 2 -> 6
a : -209.0000, 3 -> 6
b : -784.0000, 3 -> 4
c : 915.0000, 3 -> 5
d : 971.0000, 3 -> 6
a : -34.0000, 4 -> 6
b : -163.0000, 4 -> 0
c : -518.0000, 4 -> 7
d : 559.0000, 4 -> 3
a : -87.0000, 5 -> 2
b : 629.0000, 5 -> 5
c : -967.0000, 5 -> 3
d : -32.0000, 5 -> 1
a : 629.0000, 6 -> 4
b : 176.0000, 6 -> 5
c : 189.0000, 6 -> 7
d : -878.0000, 6 -> 7
a : -681.0000, 7 -> 5
b : -458.0000, 7 -> 7
c : -810.0000, 7 -> 3
d : -401.0000, 7 -> 7
c : 951.0000, 0 -> 7
b : 608.0000, 0 -> 1
d : -493.0000, 1 -> 3
b : 24.0000, 1 -> 7
d : 129.0000, 2 -> 3
a : 969.0000, 2 -> 1
a : -657.0000, 3 -> 3
b : -523.0000, 3 -> 5
d : -249.0000, 4 -> 5
a : -485.0000, 4 -> 0
a : 312.0000, 5 -> 5
c : -514.0000, 5 -> 2
a : 368.0000, 6 -> 0
c : 6.0000, 6 -> 1
d : 296.0000, 7 -> 5
d : 607.0000, 7 -> 0
