a : 927.0000, 0 -> 2
b : 888.0000, 0 -> 1
c : 900.0000, 0 -> 1
d : 748.0000, 0 -> 3
a : 519.0000, 1 -> 2
b : 206.0000, 1 -> 2
c : 404.0000, 1 -> 1
d : 303.0000, 1 -> 1
a : 366.0000, 2 -> 2
b : -933.0000, 2 -> 3
c : -43.0000, 2 -> 2
d : 787.0000, 2 -> 1
a : 990.0000, 3 -> 3
b : 132.0000, 3 -> 0
c : 751.0000, 3 -> 3
d : 38.0000, 3 -> 1
d : 749.0000, 0 -> 2
c : -972.0000, 0 -> 0
d : 435.0000, 1 -> 3
b : -284.0000, 1 -> 1
b : 816.0000, 2 -> 0
d : 233.0000, 2 -> 3
c : 846.0000, 3 -> 0
b : -622.0000, 3 -> 2
